time,open,high,low,close,Volume
2008-12-03,1011.5996,1034.0004,1011.2,1021.5996,64
2008-12-04,1028.8,1040,1004.8,1040,108.5
2008-12-05,1071.5996,1088.8,1047.1996,1053.2,188
2008-12-08,999.6004,1020,992.22,1006.4,136.5
2008-12-09,1032.4,1032.4,1002.8004,1006.4,382.5
2008-12-10,930,934.8,905.6,914.4,616.5
2008-12-11,875.9996,892,862,892,86
2008-12-12,893.2,915.2,873.6,886.8,230
2008-12-15,875.6,875.6,842.4,847.6,250
2008-12-16,857.6,859.6004,800,802.4,782.5
2008-12-17,799.6004,896.4,770,791.5996,1574.5
2008-12-18,805.9996,829.2,798.4004,820.8,2308
2008-12-19,848,855.2,840,848.4004,1494.5
2008-12-22,813.6,835.2,812,828,695.5
2008-12-23,835.2,856.8,792,842.8004,1593
2008-12-24,840,843.36,822.8004,824.4,181.5
2008-12-26,820.4796,825.2,752.168,781.2,251
2008-12-29,758,774.0004,714.4,765.2,918
2008-12-30,775.2,783.2,770,771.292,329.5
2008-12-31,795.9996,800,747.6,764.0004,478.5
2009-01-02,764.0004,772.4,758,770.8,336.5
2009-01-05,832.4,832.4,793.2,802,970
2009-01-06,821.2,825.9996,773.28,784.0004,843
2009-01-07,865.9996,865.9996,802.8004,834.0004,380
2009-01-08,786.8,809.6004,786.8,800.3996,765
2009-01-09,822,822,773.2,800.8,2233.5
2009-01-12,840.3996,880,840,865.6,2717
2009-01-13,865.6,872.4,844.8,865.2,14419.5
2009-01-14,869.2,894.0004,866.4,891.5996,7773
2009-01-15,882,904.832,868.8,872.4,1848.5
2009-01-16,832.8004,843.2,815.9996,819.2,2404
2009-01-20,789.2,804.8,772,794.8,5770
2009-01-21,802.8004,812.8004,790.3996,797.6,1235.5
2009-01-22,794.0004,797.6,781.2,788.4004,634
2009-01-23,751.5996,840,705.9996,717.6,3227
2009-01-26,698,711.5996,684.0004,704.0004,1585
2009-01-27,715.9996,720.3996,711.2,719.2,1614.5
2009-01-28,722.4,740,714.0004,739.2,2896
2009-01-29,745.6,748,697.9356,698.8,2193.5
2009-01-30,680,694.4,663.6,669.6004,4562
2009-02-02,685.6,707.6,678.4004,706.4,1740
2009-02-03,697.1996,724.0004,690.8,710,3081
2009-02-04,701.5996,707.6,693.2,701.72,1403.5
2009-02-05,675.2,695.2,672,680,1915.5
2009-02-06,688.8,692.4,683.2,688.4004,1370.5
