time,open,high,low,close,Volume
2008-12-03,6.1150025,6.3208,6.1150025,6.2050025,25820
2008-12-04,6.1274975,6.375,6.035,6.0675,253024
2008-12-05,5.925,5.9575,5.715,5.945,274684
2008-12-08,6.2675025,6.375,6.05,6.1633275,228972
2008-12-09,6.0999975,6.46125,6.0625,6.21,231988
2008-12-10,6.7249975,6.7925,6.6225025,6.75,315588
2008-12-11,7.0925,7.2375,6.8925025,6.945,940512
2008-12-12,7.055,7.0775,6.875,6.9025,355992
2008-12-15,7.1699975,7.3075,7,7.2375,1006908
2008-12-16,7.2375,7.63,7.1425025,7.6150025,558664
2008-12-17,7.745,9.0250025,7.6624975,7.75,1092212
2008-12-18,7.6850025,7.6850025,7.375,7.48,471092
2008-12-19,7.2524975,7.2524975,7.0975,7.2125025,238296
2008-12-22,7.3149975,7.63,7.2750025,7.3375025,353256
2008-12-23,7.27,7.3425,7.0325,7.1850025,198436
2008-12-24,7.14,7.3774975,7.14,7.3774975,48244
2008-12-26,7.3975,7.77,7.310525,7.7475025,264436
2008-12-29,7.9175,8.495,7.7825,7.8525,921724
2008-12-30,7.7750025,7.8224975,7.675,7.8224975,422064
2008-12-31,7.6225025,7.995,7.4775,7.9000025,625208
2009-01-02,7.8125,7.88,7.75,7.8499975,314720
2009-01-05,7.4900025,7.5475,7.25,7.5374975,521648
2009-01-06,7.2599975,7.707675,7.255,7.6425025,625732
2009-01-07,7.5374975,7.875,7.05,7.2,368840
2009-01-08,7.5,7.555,7.39,7.4975025,338636
2009-01-09,7.325,7.675,7.2524975,7.4075,252136
2009-01-12,7.05,7.0724975,6.7524975,6.8375025,638484
2009-01-13,6.9124975,7,6.8425,6.8675,225960
2009-01-14,6.7925,6.8975,6.63,6.7,545472
2009-01-15,6.6775025,6.8325,6.5425,6.805,388352
2009-01-16,7.075,7.2275,7.0099975,7.2075,379236
2009-01-20,7.3875,7.625,7.3325,7.5175025,793744
2009-01-21,7.4675,7.4675,7.2225,7.4425,875008
2009-01-22,7.4124975,7.55,7.3849975,7.5175025,402144
2009-01-23,7.8725025,8.2775,7.76015,8.1775025,1361028
2009-01-26,8.2725,8.5075,7.6675,8.2625,1894588
2009-01-27,8.195,8.25,8.1125,8.1475,850180
2009-01-28,8.1624975,8.165,7.875,7.98,699720
2009-01-29,7.9625025,8.375,7.8151025,8.375,728552
2009-01-30,8.5800025,8.7225,8.3875,8.7,1722432
2009-02-02,8.4725,8.555,8.1974975,8.2,791828
2009-02-03,8.36,8.3925025,7.96,8.1699975,999744
2009-02-04,8.2225,8.345,8.1699975,8.2750025,487856
2009-02-05,8.5625,8.5875025,8.3100025,8.4675,937812
2009-02-06,8.34,8.4701,8.305,8.38,890484
2009-02-09,8.1725,8.1850025,7.9824975,8.095,1011712
2009-02-10,8.3375025,8.4900025,8.285,8.4575,1065584
2009-02-11,8.61,9.0374975,8.5875025,8.8525,2396748
2009-02-12,8.98,9.11,8.9075,9.0024975,1591036
2009-02-13,8.8625,8.9399975,8.7225,8.9075,1157788
2009-02-17,9.4075,9.575,9.3498775,9.4824975,3532084
2009-02-18,9.425,9.8125,9.3100025,9.7599975,2000632
2009-02-19,9.5449975,9.6718475,9.4525,9.522475,2190748
2009-02-20,9.9749975,10.1575,9.785,9.9075,2658444
2009-02-23,9.6850025,9.9875,9.5449975,9.8675,1647404
2009-02-24,9.86,9.86,9.2075,9.29,2286180
2009-02-25,9.2775,9.595,8.9075,8.9725,2023148
2009-02-26,8.87,8.96,8.6525,8.9575,2311528
2009-02-27,9.1974975,9.2375,8.575,8.8375025,2247644
2009-03-02,9.0175025,9.05,8.4775,8.55,2445908
2009-03-03,8.53,8.5600025,8.1699975,8.355,2004720
2009-03-04,8.4124975,8.4225,8.080025,8.18,1954240
2009-03-05,8.3275,8.7625,8.215,8.7375,2442300
2009-03-06,8.735,8.9025,8.6325,8.7825,2189240
2009-03-09,8.79,8.79,8.2725,8.45,1666916
2009-03-10,8.235,8.25,7.8849975,7.9975025,2851080
