time,open,high,low,close,Volume
2023-09-28,2061.3,2061.3,2061.3,2061.3,0
2023-09-29,2047.3,2047.3,2047.3,2047.3,0
2023-10-02,2027.7,2027.7,2027.7,2027.7,0
2023-10-03,2020.7,2020.7,2020.7,2020.7,0
2023-10-04,2012.9,2012.9,2012.9,2012.9,0
2023-10-05,2007.6,2007.6,2007.6,2007.6,0
2023-10-06,2023.3,2023.3,2023.3,2023.3,0
2023-10-09,2041.4,2041.4,2041.4,2041.4,0
2023-10-10,2052.9,2052.9,2052.9,2052.9,0
2023-10-11,2065.5,2065.5,2065.5,2065.5,0
2023-10-12,2062.1,2062.1,2062.1,2062.1,0
2023-10-13,2121.4,2121.4,2121.4,2121.4,0
2023-10-16,2116.6,2116.6,2116.6,2116.6,0
2023-10-17,2118.9,2118.9,2118.9,2118.9,0
2023-10-18,2153.3,2153.3,2153.3,2153.3,0
2023-10-19,2167.1,2167.1,2167.1,2167.1,0
2023-10-20,2181.7,2181.7,2181.7,2181.7,0
2023-10-23,2174.8,2174.8,2174.8,2174.8,0
2023-10-24,2172.7,2172.7,2172.7,2172.7,0
2023-10-25,2181.7,2181.7,2181.7,2181.7,0
2023-10-26,2184.2,2184.2,2184.2,2184.2,0
2023-10-27,2185.6,2185.6,2185.6,2185.6,0
2023-10-30,2193.3,2193.3,2193.3,2193.3,2
2023-10-31,2181.9,2181.9,2181.9,2181.9,0
2023-11-01,2173.9,2173.9,2173.9,2173.9,0
2023-11-02,2178.9,2178.9,2178.9,2178.9,0
2023-11-03,2181.6,2181.6,2181.6,2181.6,0
2023-11-06,2172,2172,2172,2172,0
2023-11-07,2156.3,2156.3,2156.3,2156.3,0
2023-11-08,2139.6,2139.6,2139.6,2139.6,0
2023-11-09,2153.5,2153.5,2153.5,2153.5,0
2023-11-10,2121.1,2121.1,2121.1,2121.1,0
2023-11-13,2129,2129,2129,2129,2
2023-11-14,2143.6,2143.6,2143.6,2143.6,2
2023-11-15,2142.3,2142.3,2142.3,2142.3,0
2023-11-16,2165,2165,2165,2165,0
2023-11-17,2162.1,2162.1,2162.1,2162.1,0
2023-11-20,2156.8,2156.8,2156.8,2156.8,0
2023-11-21,2179.2,2179.2,2179.2,2179.2,0
2023-11-22,2172.4,2172.4,2172.4,2172.4,0
2023-11-24,2182.5,2182.5,2182.5,2182.5,0
2023-11-27,2192.6,2192.6,2192.6,2192.6,0
2023-11-28,2219.5,2219.5,2219.5,2219.5,0
2023-11-29,2224.6,2224.6,2224.6,2224.6,0
2023-11-30,2213.8,2213.8,2213.8,2213.8,0
2023-12-01,2245.6,2245.6,2245.6,2245.6,0
2023-12-04,2196.4,2196.4,2196.4,2196.4,0
2023-12-05,2187.8,2187.8,2187.8,2187.8,0
2023-12-06,2199.5,2199.5,2199.5,2199.5,0
2023-12-07,2198.4,2198.4,2198.4,2198.4,0
