time,open,high,low,close,Volume
1999-05-06,289.3,289.3,289.3,289.3,0
1999-05-07,282.5,282.5,282.5,282.5,0
1999-05-10,277.6,277.6,277.6,277.6,0
1999-05-11,277.9,277.9,277.9,277.9,0
1999-05-12,277.1,277.1,277.1,277.1,0
1999-05-13,277.4,277.4,277.4,277.4,0
1999-05-14,275.7,275.7,275.7,275.7,0
1999-05-17,274.2,274.2,274.2,274.2,0
1999-05-18,273.6,273.6,273.6,273.6,0
1999-05-19,273.1,273.1,273.1,273.1,0
1999-05-20,274.2,274.2,274.2,274.2,0
1999-05-21,272.7,272.7,272.7,272.7,0
1999-05-24,272.4,272.4,272.4,272.4,0
1999-05-25,270.4,270.4,270.4,270.4,0
1999-05-26,269.1,269.1,269.1,269.1,0
1999-05-27,270.6,270.6,270.6,270.6,0
1999-05-28,270,270,270,270,0
1999-06-01,267.4,267.4,267.4,267.4,0
1999-06-02,265.2,265.2,265.2,265.2,0
1999-06-03,265.05,266.7,263.75,265.7,0
1999-06-04,265.9,266.75,264.9,265,0
1999-06-07,264.4,267.1,264.4,265.4,0
1999-06-08,264.7,265.25,261.6,262,0
1999-06-09,262.5,262.7,257.9,259.3,0
1999-06-10,257.5,260.5,257.5,258.2,0
1999-06-11,258.5,260.9,258.5,260.4,0
1999-06-14,259.35,261.1,259.2,260.3,0
1999-06-15,259.65,260.5,259.2,259.2,0
1999-06-16,258.15,258.8,258.1,258.1,0
1999-06-17,258.1,258.8,258.1,258.2,0
1999-06-18,258.75,262.9,258.3,259.3,0
1999-06-21,258.2,259.6,258.2,258.7,0
1999-06-22,258.85,259.2,258.1,258.1,0
1999-06-23,257.95,260.4,257.95,260.1,0
1999-06-24,260.3,261.5,260.3,260.3,0
1999-06-25,260.75,261.25,259.1,259.2,0
1999-06-28,259.35,260.75,259.35,260.3,0
1999-06-29,260.35,262.1,260.35,260.5,0
1999-06-30,260.6,261.4,260.6,261.25,0
1999-07-01,262.25,263.8,262.25,263.4,0
1999-07-02,263.2,263.45,263,263.1,0
1999-07-06,261.1,262.4,256,256.6,0
1999-07-07,256.45,258.6,256.05,257.1,0
1999-07-08,255.95,257.5,255.95,256.5,0
1999-07-09,256.15,258.75,256.15,256.9,0
1999-07-12,256.25,256.8,255.4,255.4,0
1999-07-13,254.15,256.3,254.15,255.6,0
