time,open,high,low,close,volume,adjClose,changesPercentage
2025-09-04,19.3,19.51,19.25,19.36,1395560,19.36,0.62
2025-09-03,19.16,19.3,19.02,19.24,1508146,19.24,-1.18
2025-09-02,20.04,20.11,19.44,19.47,1556739,19.47,-4.65
2025-08-29,20.91,20.91,20.38,20.42,836023,20.42,-2.11
2025-08-28,21.05,21.12,20.85,20.86,667731,20.86,-1.65
2025-08-27,21.45,21.53,21.21,21.21,520633,21.21,-0.70
2025-08-26,21.57,21.61,21.34,21.36,381400,21.36,-1.61
2025-08-25,21.72,21.73,21.57,21.71,221618,21.71,0.42
2025-08-22,22.23,22.23,21.55,21.62,496113,21.62,-1.99
2025-08-21,21.99,22.1,21.95,22.06,395185,22.06,0.46
2025-08-20,22.04,22.06,21.93,21.96,342300,21.96,-1.88
2025-08-19,22.16,22.39,22.06,22.38,267600,22.38,1.18
2025-08-18,21.98,22.17,21.98,22.12,233100,22.12,0.36
2025-08-15,22.04,22.1,21.95,22.04,279751,22.04,0.05
2025-08-14,21.91,22.15,21.87,22.03,363900,22.03,1.33
2025-08-13,21.74,21.82,21.57,21.74,219421,21.74,-0.55
2025-08-12,21.88,22.11,21.72,21.86,382304,21.86,0.23
2025-08-11,21.76,21.84,21.63,21.81,472900,21.81,3.07
2025-08-08,20.88,21.28,20.67,21.16,1291123,21.16,0.47
2025-08-07,21.16,21.41,21.04,21.06,645642,21.06,-1.86
2025-08-06,21.57,21.64,21.41,21.46,245900,21.46,-0.05
2025-08-05,21.59,21.59,21.32,21.47,355700,21.47,-0.19
2025-08-04,21.51,21.58,21.39,21.51,504100,21.51,-1.19
2025-08-01,21.84,21.99,21.71,21.77,697706,21.77,-3.80
2025-07-31,22.4,22.66,22.4,22.63,412013,22.63,-1.35
2025-07-30,22.43,22.96,22.39,22.94,739530,22.94,3.57
2025-07-29,22.21,22.33,22.05,22.15,362909,22.15,-0.40
2025-07-28,22.12,22.46,22.12,22.24,496900,22.24,1.32
2025-07-25,21.92,22.12,21.84,21.95,545051,21.95,2.09
2025-07-24,21.67,21.69,21.43,21.5,250133,21.5,1.46
2025-07-23,20.95,21.3,20.84,21.19,478200,21.19,2.47
2025-07-22,20.87,21,20.62,20.68,551000,20.68,-1.99
2025-07-21,21.28,21.31,21.02,21.1,499826,21.1,-3.34
2025-07-18,21.67,21.83,21.67,21.83,204728,21.83,-0.46
2025-07-17,22.21,22.26,21.91,21.93,346199,21.93,0.60
2025-07-16,21.97,22.17,21.41,21.8,720525,21.8,-1.09
2025-07-15,21.89,22.16,21.74,22.04,475400,22.04,0.96
2025-07-14,21.69,21.89,21.65,21.83,277247,21.83,1.06
2025-07-11,21.68,21.71,21.45,21.6,387300,21.6,-2.17
2025-07-10,22.08,22.29,22.04,22.08,249219,22.08,-0.59
2025-07-09,22.49,22.54,22.19,22.21,278004,22.21,-0.76
2025-07-08,22.08,22.59,22.06,22.38,480208,22.38,2.10
2025-07-07,22.25,22.33,21.87,21.92,287921,21.92,-0.14
2025-07-03,21.98,22.09,21.89,21.95,192332,21.95,1.53
2025-07-02,21.79,21.94,21.61,21.62,542045,21.62,-1.14
2025-07-01,21.71,21.9,21.65,21.87,724217,21.87,-1.75
2025-06-30,22.64,22.69,22.25,22.26,496900,22.26,-2.28
2025-06-27,22.97,22.99,22.62,22.78,737127,22.78,3.73
2025-06-26,22.12,22.26,21.9,21.96,496820,21.96,0.18
2025-06-25,22.2,22.22,21.9,21.92,531000,21.92,-0.68
2025-06-24,22.22,22.42,22.04,22.07,754727,22.07,3.23
2025-06-23,21.48,21.48,21.16,21.38,1303100,21.38,-0.60
2025-06-20,21.62,21.62,21.4,21.51,1043100,21.51,0.19
2025-06-18,21.11,21.52,21.08,21.47,736511,21.47,1.13
2025-06-17,21.14,21.46,21.07,21.23,1144500,21.23,-0.05
2025-06-16,20.83,21.25,20.82,21.24,1222200,21.24,2.86
2025-06-13,20.49,20.8,20.44,20.65,1156036,20.65,-2.59
2025-06-12,21.26,21.32,21.04,21.2,1588861,21.2,-2.39
2025-06-11,21.86,22.08,21.7,21.72,1666755,21.72,-1.09
2025-06-10,21.74,22.08,21.7,21.96,989963,21.96,-0.09
2025-06-09,22.16,22.2,21.84,21.98,1307205,21.98,-0.72
2025-06-06,21.62,22.18,21.6,22.14,1577900,22.14,2.79
2025-06-05,21.28,21.78,21.16,21.54,1708101,21.54,0.84
2025-06-04,21.54,21.62,21.18,21.36,1032510,21.36,-1.11
2025-06-03,21.54,21.86,21.54,21.6,1427466,21.6,1.69
2025-06-02,21.56,21.64,21.22,21.24,1960955,21.24,-5.26
2025-05-30,22.42,22.72,22.34,22.42,1439700,22.42,1.26
2025-05-29,22.1,22.28,21.92,22.14,1767600,22.14,-1.07
2025-05-28,22.22,22.48,22.18,22.38,1557207,22.38,0.63
2025-05-27,22.34,22.48,22.2,22.24,1627750,22.24,3.35
2025-05-23,21.66,21.86,21.44,21.52,2349850,21.52,-4.19
2025-05-22,22.2,22.62,22.16,22.46,1627217,22.46,1.91
2025-05-21,22.26,22.38,21.96,22.04,924800,22.04,-1.43
2025-05-20,23.18,23.2,22.36,22.36,1355310,22.36,-3.79
2025-05-19,23.26,23.5,23.14,23.24,944857,23.24,-2.68
2025-05-16,24.1,24.24,23.82,23.88,1668253,23.88,2.58
2025-05-15,23.86,23.96,23.28,23.28,1905317,23.28,-3.08
2025-05-14,23.94,24.22,23.78,24.02,2520100,24.02,4.25
2025-05-13,23.1,23.38,22.92,23.04,1270250,23.04,-0.78
2025-05-12,23.2,23.46,23.08,23.22,2820500,23.22,5.35
2025-05-09,21.9,22.16,21.78,22.04,2038550,22.04,-1.25
2025-05-08,21.66,22.58,21.52,22.32,2420050,22.32,3.91
2025-05-07,21.3,21.58,21.12,21.48,4406155,21.48,3.27
2025-05-06,21.2,21.42,20.8,20.8,3603669,20.8,-5.71
2025-05-05,22.2,22.4,21.96,22.06,1626553,22.06,-5.89
2025-05-02,23.1,23.62,22.98,23.44,1939050,23.44,-0.26
2025-05-01,23.54,23.86,23.48,23.5,3503719,23.5,3.98
2025-04-30,22.5,22.66,22.28,22.6,1865050,22.6,1.44
2025-04-29,22.32,22.54,22.14,22.28,1399853,22.28,1.92
2025-04-28,22.56,22.72,21.82,21.86,2175650,21.86,-2.67
2025-04-25,22.92,23.04,22.36,22.46,2436200,22.46,2.18
2025-04-24,22.14,22.5,21.92,21.98,2391450,21.98,-3.00
2025-04-23,22.6,23.08,22.5,22.66,8593500,22.66,4.62
2025-04-22,20.82,21.74,20.78,21.66,12536704,21.66,2.85
2025-04-21,21.16,21.3,20.96,21.06,4827250,21.06,-5.98
2025-04-17,22.38,22.88,22.22,22.4,1582050,22.4,0.99
2025-04-16,22.64,22.74,22.08,22.18,2812600,22.18,-6.41
2025-04-15,23.86,23.98,23.68,23.7,627813,23.7,-1.17
2025-04-14,24.1,24.24,23.92,23.98,850912,23.98,1.18
2025-04-11,23.68,23.88,23.46,23.7,1582350,23.7,-3.74
2025-04-10,25.26,25.52,24.52,24.62,1061562,24.62,-4.94
2025-04-09,26.5,26.74,25.8,25.9,1156800,25.9,-7.37
2025-04-08,27.38,28.18,27.3,27.96,684450,27.96,-0.57
2025-04-07,27.18,28.48,26.96,28.12,1929350,28.12,4.54
2025-04-04,26.32,27.36,26.26,26.9,1554616,26.9,4.26
2025-04-03,26.46,26.5,25.3,25.8,2896373,25.8,2.22
2025-04-02,25.3,25.42,25,25.24,812250,25.24,-0.86
2025-04-01,25.3,25.76,25.16,25.46,673950,25.46,0.47
2025-03-31,25.44,25.76,25.28,25.34,799000,25.34,-2.61
2025-03-28,26.1,26.26,25.92,26.02,686800,26.02,-1.14
2025-03-27,26.6,26.78,26.24,26.32,664010,26.32,-2.95
2025-03-26,27,27.2,26.98,27.12,240300,27.12,0.07
2025-03-25,27.04,27.14,26.8,27.1,352500,27.1,-0.81
2025-03-24,27.04,27.4,27,27.32,468400,27.32,0.89
2025-03-21,26.9,27.5,26.9,27.08,422459,27.08,1.65
2025-03-20,26.86,26.88,26.62,26.64,464414,26.64,0.23
2025-03-19,26.86,26.94,26.5,26.58,624021,26.58,-0.89
2025-03-18,26.76,27,26.72,26.82,655000,26.82,-2.12
2025-03-17,27.64,27.68,27.4,27.4,232300,27.4,-1.01
2025-03-14,27.42,27.76,27.42,27.68,402150,27.68,0.22
2025-03-13,28.42,28.44,27.56,27.62,553972,27.62,-3.70
2025-03-12,29.16,29.18,28.52,28.68,318618,28.68,-1.10
2025-03-11,29.14,29.16,28.9,29,139853,29,-2.42
2025-03-10,29.32,29.8,29.14,29.72,318100,29.72,2.13
2025-03-07,29,29.3,28.72,29.1,221000,29.1,-0.14
2025-03-06,29.18,29.18,28.86,29.14,160600,29.14,1.04
2025-03-05,29.18,29.18,28.68,28.84,244200,28.84,-0.28
2025-03-04,28.92,29.28,28.86,28.92,367152,28.92,-1.83
2025-03-03,29.84,29.84,29.4,29.46,305650,29.46,-2.58
2025-02-28,30.4,30.68,30.24,30.24,291400,30.24,1.34
2025-02-27,29.5,29.92,29.46,29.84,355300,29.84,3.18
