time,open,high,low,close,volume,adjClose,changesPercentage
2025-09-04,39.76,39.86,39.3,39.6,1884874,39.6,-0.80
2025-09-03,40.07,40.36,39.78,39.92,2829200,39.92,1.24
2025-09-02,38.39,39.5,38.23,39.43,4007526,39.43,4.62
2025-08-29,36.81,37.76,36.81,37.69,2092822,37.69,2.25
2025-08-28,36.51,36.88,36.45,36.86,1644334,36.86,1.65
2025-08-27,35.86,36.28,35.71,36.26,895600,36.26,0.72
2025-08-26,35.65,36.03,35.6,36,1252907,36,1.58
2025-08-25,35.38,35.67,35.38,35.44,401400,35.44,-0.37
2025-08-22,34.63,35.69,34.61,35.57,984109,35.57,2.01
2025-08-21,34.96,35.04,34.78,34.87,548500,34.87,-0.49
2025-08-20,34.9,35.08,34.85,35.04,929707,35.04,1.95
2025-08-19,34.73,34.86,34.35,34.37,637149,34.37,-1.12
2025-08-18,34.96,34.99,34.71,34.76,533924,34.76,-0.29
2025-08-15,34.9,35.02,34.78,34.86,540234,34.86,-0.06
2025-08-14,35.09,35.17,34.7,34.88,596214,34.88,-1.39
2025-08-13,35.33,35.66,35.21,35.37,841225,35.37,0.57
2025-08-12,35.14,35.39,34.75,35.17,1031523,35.17,-0.14
2025-08-11,35.31,35.58,35.17,35.22,1310327,35.22,-3.24
2025-08-08,36.9,37.28,36.16,36.4,2903800,36.4,-0.57
2025-08-07,36.43,36.62,35.98,36.61,1584200,36.61,1.92
2025-08-06,35.72,36.01,35.62,35.92,1078600,35.92,0.08
2025-08-05,35.72,36.14,35.7,35.89,1066400,35.89,0.14
2025-08-04,35.81,36.02,35.7,35.84,1035532,35.84,1.27
2025-08-01,35.3,35.49,35.03,35.39,1609500,35.39,3.94
2025-07-31,34.39,34.41,34,34.05,840201,34.05,1.37
2025-07-30,34.36,34.43,33.54,33.59,1354700,33.59,-3.45
2025-07-29,34.69,34.97,34.52,34.79,826600,34.79,0.38
2025-07-28,34.87,34.89,34.31,34.66,1170508,34.66,-1.25
2025-07-25,35.18,35.31,34.83,35.1,1503810,35.1,-2.12
2025-07-24,35.6,35.99,35.53,35.86,1425526,35.86,-1.46
2025-07-23,36.81,37.06,36.19,36.39,2439900,36.39,-2.54
2025-07-22,37,37.42,36.76,37.34,2056500,37.34,2.02
2025-07-21,36.27,36.72,36.23,36.6,2102224,36.6,3.42
2025-07-18,35.61,35.65,35.38,35.39,890200,35.39,0.51
2025-07-17,34.73,35.24,34.68,35.21,865400,35.21,-0.56
2025-07-16,35.16,36.07,34.82,35.41,1668205,35.41,1.08
2025-07-15,35.28,35.53,34.86,35.03,1026335,35.03,-0.96
2025-07-14,35.6,35.67,35.29,35.37,866448,35.37,-1.04
2025-07-11,35.62,35.96,35.55,35.74,1752800,35.74,2.23
2025-07-10,34.94,35.03,34.67,34.96,579669,34.96,0.55
2025-07-09,34.35,34.78,34.26,34.77,572816,34.77,0.81
2025-07-08,35,35.01,34.18,34.49,749642,34.49,-2.13
2025-07-07,34.69,35.31,34.58,35.24,796400,35.24,0.20
2025-07-03,35.13,35.26,34.93,35.17,628900,35.17,-1.46
2025-07-02,35.41,35.7,35.17,35.69,500200,35.69,1.22
2025-07-01,35.52,35.63,35.25,35.26,985500,35.26,1.73
2025-06-30,34.11,34.68,34.02,34.66,1061537,34.66,2.30
2025-06-27,33.54,34.11,33.52,33.88,1241300,33.88,-3.67
2025-06-26,34.92,35.26,34.71,35.17,737145,35.17,-0.17
2025-06-25,34.8,35.28,34.77,35.23,698700,35.23,0.63
2025-06-24,34.71,35.04,34.37,35.01,1659611,35.01,-3.23
2025-06-23,36,36.57,36,36.18,1296900,36.18,0.64
2025-06-20,35.76,36.14,35.75,35.95,766100,35.95,-0.19
2025-06-18,36.65,36.68,35.92,36.02,987200,36.02,-1.13
2025-06-17,36.6,36.68,36.02,36.43,1247436,36.43,0.08
2025-06-16,37.11,37.12,36.36,36.4,1411200,36.4,-2.86
2025-06-13,37.7,37.8,37.17,37.47,1611800,37.47,2.57
2025-06-12,36.4,36.75,36.3,36.53,1846584,36.53,2.47
2025-06-11,35.47,35.71,35.08,35.65,1337632,35.65,1.08
2025-06-10,35.63,35.7,35.09,35.27,1052016,35.27,0.37
2025-06-09,34.99,35.48,34.9,35.14,1023316,35.14,0.51
2025-06-06,35.81,35.87,34.91,34.96,1484908,34.96,-2.59
2025-06-05,36.4,36.59,35.55,35.89,1865292,35.89,-1.07
2025-06-04,35.96,36.53,35.79,36.28,1476088,36.28,1.28
2025-06-03,35.96,35.96,35.43,35.82,1666400,35.82,-1.73
2025-06-02,35.92,36.49,35.8,36.45,2575600,36.45,5.29
2025-05-30,34.63,34.74,34.14,34.62,1380768,34.62,-1.34
2025-05-29,35.13,35.39,34.85,35.09,1095200,35.09,1.15
2025-05-28,34.89,34.96,34.56,34.69,1210040,34.69,-0.46
2025-05-27,34.72,34.96,34.42,34.85,2432800,34.85,-3.57
2025-05-23,35.92,36.23,35.61,36.14,2066912,36.14,4.39
2025-05-22,35.07,35.09,34.37,34.62,1780000,34.62,-1.87
2025-05-21,34.97,35.41,34.78,35.28,2512000,35.28,1.47
2025-05-20,33.57,34.82,33.55,34.77,2760572,34.77,3.85
2025-05-19,33.48,33.63,33.17,33.48,1805600,33.48,2.60
2025-05-16,32.3,32.7,32.11,32.63,1800504,32.63,-2.45
2025-05-15,32.66,33.47,32.57,33.45,2188400,33.45,3.18
2025-05-14,32.51,32.81,32.14,32.42,2463312,32.42,-4.31
2025-05-13,33.77,34.05,33.41,33.88,1246000,33.88,0.86
2025-05-12,33.65,33.88,33.28,33.59,2361320,33.59,-5.65
2025-05-09,35.82,35.99,35.41,35.6,1388408,35.6,1.40
2025-05-08,36.32,36.52,34.75,35.11,2166400,35.11,-4.04
2025-05-07,36.91,37.2,36.41,36.59,2105600,36.59,-3.07
2025-05-06,37.18,37.78,36.79,37.75,3124000,37.75,5.62
2025-05-05,35.53,35.92,35.23,35.74,2299276,35.74,6.02
2025-05-02,34.2,34.37,33.46,33.71,1571268,33.71,0.30
2025-05-01,33.6,33.7,33.1,33.61,2172988,33.61,-4.22
2025-04-30,35.27,35.6,35.01,35.09,2230400,35.09,-1.24
2025-04-29,35.53,35.82,35.14,35.53,1479368,35.53,-2.15
2025-04-28,35.2,36.32,34.92,36.31,2047220,36.31,2.86
2025-04-25,34.6,35.47,34.43,35.3,1773216,35.3,-2.30
2025-04-24,35.87,36.23,35.35,36.13,2188000,36.13,2.88
2025-04-23,35.24,35.38,34.3,35.12,5034000,35.12,-4.82
2025-04-22,38.41,38.45,36.73,36.9,7051680,36.9,-2.77
2025-04-21,37.78,38.09,37.56,37.95,4183600,37.95,6.06
2025-04-17,35.81,36.03,34.94,35.78,2710100,35.78,-1.08
2025-04-16,35.51,36.28,35.33,36.17,3879200,36.17,6.54
2025-04-15,33.76,33.98,33.57,33.95,1428120,33.95,1.16
2025-04-14,33.41,33.66,33.18,33.56,2157600,33.56,-1.21
2025-04-11,33.98,34.28,33.71,33.97,4653600,33.97,3.69
2025-04-10,31.98,32.86,31.66,32.76,3971200,32.76,5.10
2025-04-09,30.54,31.34,30.25,31.17,4776800,31.17,7.41
2025-04-08,29.59,29.68,28.78,29.02,2189600,29.02,0.55
2025-04-07,29.87,30.13,28.48,28.86,3573200,28.86,-4.28
2025-04-04,30.92,31,29.64,30.15,4220840,30.15,-4.53
2025-04-03,30.71,32.23,30.64,31.58,3524800,31.58,-2.41
2025-04-02,32.26,32.6,32.1,32.36,2146020,32.36,0.90
2025-04-01,32.24,32.39,31.65,32.07,2258048,32.07,-0.34
2025-03-31,32.07,32.25,31.66,32.18,3370400,32.18,2.78
2025-03-28,31.25,31.47,31.06,31.31,2188400,31.31,1.03
