time,open,high,low,close,volume,adjClose,changesPercentage
2023-11-27,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-24,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-22,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-21,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-20,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-17,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-16,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-15,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-14,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-13,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-10,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-09,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-08,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-07,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-06,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-03,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-02,201.36,201.36,201.36,201.36,0,201.36,0.00
2023-11-01,201.36,201.36,201.36,201.36,0,201.36,20.21
2023-10-31,165,167.5,165,167.5,141,167.5,2.13
2023-10-30,160.01,165.87,160.01,164,1149,164,2.49
2023-10-27,160.01,160.01,160.01,160.01,1,160.01,0.01
2023-10-26,160,160,160,160,90,160,-1.84
2023-10-25,162.79,163,162.79,163,2,160,1.88
2023-10-24,160,160,160,160,0,160,0.00
2023-10-23,177,177,160,160,90,160,-2.04
2023-10-20,169.95,169.95,163.33,163.33,245,163.33,0.82
2023-10-19,156.24,162,156.24,162,238,162,2.92
2023-10-18,157.03,157.41,157.03,157.41,5,157.41,5.22
2023-10-17,149.69,149.69,149.6,149.6,4,149.6,-1.90
2023-10-16,152.5,152.5,152.5,152.5,0,152.5,0.00
2023-10-13,146.39,152.8,146.39,152.5,86,152.5,8.09
2023-10-12,141.09,141.09,141.09,141.09,0,141.09,0.00
2023-10-11,140.68,141.09,140.68,141.09,210,141.09,3.64
2023-10-10,134.63,138.63,134.63,136.13,3,136.13,-0.92
2023-10-09,132.84,137.4,132.84,137.4,365,137.4,4.66
2023-10-06,131.28,131.28,131.28,131.28,2,131.28,1.16
2023-10-05,127.25,129.77,127.25,129.77,5,129.77,-0.86
2023-10-04,131.69,131.69,128.56,130.89,7,130.89,-1.07
2023-10-03,133.23,133.23,128.63,132.31,48,132.31,-1.08
2023-10-02,133.76,133.76,133.76,133.76,1,133.76,-6.73
2023-09-29,139.73,143.41,139.73,143.41,2,143.41,0.04
2023-09-28,139.96,143.35,139.96,143.35,12,143.35,-2.03
2023-09-27,146.32,146.32,146.32,146.32,0,146.32,0.00
2023-09-26,150.36,150.36,146.32,146.32,2,146.32,-4.37
2023-09-25,153,153,153,153,200,149.86,0.59
2023-09-22,152.11,152.11,152.11,152.11,1,152.11,-2.14
2023-09-21,155.43,155.43,155.43,155.43,0,155.43,0.00
2023-09-20,159,159.16,155.43,155.43,591,155.43,0.51
2023-09-19,154.45,156.25,154.45,154.64,601,154.64,1.18
2023-09-18,152.73,152.93,152.73,152.84,34,152.84,0.71
2023-09-15,151.77,151.77,151.77,151.77,0,151.77,0.00
2023-09-14,151.03,151.77,151.03,151.77,2,151.77,1.91
2023-09-13,150,150,148.92,148.92,65,148.92,-5.44
2023-09-12,157.48,157.48,157.48,157.48,0,157.48,0.00
2023-09-11,157.48,157.48,157.48,157.48,0,157.48,0.00
2023-09-08,157.48,157.48,157.48,157.48,0,157.48,0.00
2023-09-07,157.48,157.48,157.48,157.48,0,157.48,0.00
2023-09-06,157.48,157.48,157.48,157.48,0,157.48,0.00
2023-09-05,157.48,157.48,157.48,157.48,2,157.48,-0.34
2023-09-01,158.01,158.01,158.01,158.01,57,158.01,0.00
2023-08-31,159,159,158.01,158.01,260,158.01,0.01
2023-08-30,161.99,161.99,158,158,177,158,2.32
2023-08-29,154.41,154.41,154.41,154.41,5,154.41,1.17
2023-08-28,151.25,155.77,151.25,152.62,55,152.62,1.32
2023-08-25,150.26,150.63,150.26,150.63,6,150.63,-2.12
2023-08-24,153.9,153.9,153.9,153.9,100,153.9,0.85
2023-08-23,152.6,152.61,152.6,152.61,30,152.61,1.49
2023-08-22,146.98,150.37,146.98,150.37,2,150.37,0.92
2023-08-21,151,151,146.54,149,427,149,-0.57
2023-08-18,149.86,149.86,149.86,149.86,0,149.86,0.00
2023-08-17,145.01,149.86,145.01,149.86,9,149.86,-2.80
2023-08-16,154.17,154.17,154.17,154.17,0,154.17,0.00
2023-08-15,154.01,154.17,150.04,154.17,72,154.17,-0.01
2023-08-14,150.08,154.19,150.08,154.19,2,154.19,-1.68
2023-08-11,152.23,156.83,152.23,156.83,88,156.83,2.94
2023-08-10,155,155,152.35,152.35,978,152.35,-1.91
2023-08-09,155.32,155.32,155.32,155.32,0,155.32,0.00
2023-08-08,155.32,155.32,155.32,155.32,4,155.32,-2.70
2023-08-07,159.63,159.63,159.63,159.63,0,159.63,0.00
2023-08-04,159.63,159.63,159.63,159.63,0,159.63,0.00
2023-08-03,162.74,162.74,159.63,159.63,12,159.63,-1.85
2023-08-02,158.46,162.64,158.46,162.64,31,162.64,-1.59
2023-08-01,161.9,165.42,161.9,165.27,12,165.27,-2.78
2023-07-31,171.31,171.31,167.5,170,857,170,3.32
2023-07-28,165.04,165.04,164.53,164.53,31,164.53,0.73
2023-07-27,163.33,163.33,163.33,163.33,1,163.33,-5.69
2023-07-26,171.9,173.18,168.91,173.18,392,173.18,4.38
2023-07-25,164.4,165.91,164.4,165.91,21,165.91,1.28
2023-07-24,167.57,167.57,163.82,163.82,14,163.82,-3.22
2023-07-21,169.27,169.27,169.27,169.27,0,169.27,0.00
2023-07-20,170.04,170.04,167.45,169.27,354,169.27,12.85
2023-07-19,171.28,171.28,150,150,105,150,-13.39
2023-07-18,169.62,173.19,169.62,173.19,254,173.19,4.33
2023-07-17,164.21,166,164.21,166,30,166,0.41
2023-07-14,165.33,165.33,165.33,165.33,1,165.33,-0.45
2023-07-13,166.07,166.07,166.07,166.07,27,166.07,-0.56
2023-07-12,168.96,168.96,167,167,10,167,4.19
2023-07-11,160.29,160.29,160.29,160.29,42,160.29,-0.19
2023-07-10,160.6,160.6,160.6,160.6,0,160.6,0.00
2023-07-07,156.53,160.6,156.53,160.6,129,160.6,3.69
2023-07-06,157.53,157.53,154.88,154.88,41,154.88,-3.13
2023-07-05,159.88,159.88,159.88,159.88,1,159.88,1.66
2023-07-03,157.27,157.27,157.27,157.27,0,157.27,0.00
2023-06-30,156.33,157.27,156.33,157.27,121,157.27,1.43
2023-06-29,154.71,155.06,154.71,155.06,96,155.06,0.69
2023-06-28,158.5,158.5,154,154,39,154,-1.14
2023-06-27,155.77,155.77,155.77,155.77,3,155.77,-4.36
2023-06-26,162.87,162.87,162.87,162.87,0,162.87,0.00
2023-06-23,162.87,162.87,162.87,162.87,0,162.87,0.00
2023-06-22,162.87,162.87,162.87,162.87,0,162.87,0.00
2023-06-21,159.37,162.87,159.37,162.87,710,162.87,-1.87
2023-06-20,164.83,165.98,164.83,165.98,2,165.98,-0.61
2023-06-16,170.52,170.52,166.08,167,218,167,-0.14
2023-06-15,168.8,168.86,166.25,167.23,136,167.23,0.86
2023-06-14,171.47,171.47,165.8,165.8,53,165.8,-0.99
2023-06-13,172.49,172.49,167.46,167.46,269,167.46,-2.62
2023-06-12,171.97,171.97,171.97,171.97,1,171.97,1.66
2023-06-09,173.24,173.24,169.17,169.17,99,169.17,-2.34
2023-06-08,173.23,173.23,173.23,173.23,0,173.23,0.00
2023-06-07,170.71,173.23,170.71,173.23,26,173.23,0.60
2023-06-06,172.2,172.2,172.2,172.2,0,172.2,0.00
2023-06-05,167.09,172.3,167.09,172.2,234,172.2,3.52
2023-06-02,172.15,172.15,166.35,166.35,86,166.35,-4.13
2023-06-01,173.51,173.51,173.51,173.51,57,173.51,0.29
2023-05-31,170.3,174.61,170.3,173,259,173,0.44
2023-05-30,170.24,172.25,168.03,172.25,958,172.25,4.14
2023-05-26,166.18,170.28,165.4,165.4,215,165.4,0.14
2023-05-25,165.17,165.17,165.17,165.17,25,165.17,-3.05
2023-05-24,170.36,170.36,170.36,170.36,1,170.36,-1.56
2023-05-23,173.06,173.06,173.06,173.06,4,173.06,-0.86
2023-05-22,174.07,174.56,174.07,174.56,125,174.56,-0.44
2023-05-19,170.1,175.33,170.1,175.33,144,175.33,1.68
2023-05-18,169.62,172.44,169.32,172.44,51,172.44,-7.54
2023-05-17,186.51,186.51,186.51,186.51,0,186.51,0.00
2023-05-16,186.51,186.51,186.51,186.51,0,186.51,0.00
2023-05-15,186.51,186.51,186.51,186.51,1,186.51,9.17
2023-05-12,185,185.5,170.85,170.85,19,170.85,-8.15
2023-05-11,190,190,186,186,111,186,-2.82
2023-05-10,191.4,191.4,191.4,191.4,0,191.4,0.00
2023-05-09,190.81,194.35,190.27,191.4,901,191.4,-0.83
2023-05-08,188.86,193.11,188.86,193,833,193,3.54
2023-05-05,190.17,190.17,186,186.4,61,186.4,-6.02
2023-05-04,196.35,198.35,196.35,198.35,102,198.35,4.86
2023-05-03,187.2,191.6,187.2,189.15,184,189.15,1.29
2023-05-02,185.84,188.75,185.36,186.74,237,186.74,4.32
2023-05-01,185,187.41,179,179,102,179,-2.19
2023-04-28,183,183,183,183,30,183,-0.13
2023-04-27,183.23,183.23,183.23,183.23,0,183.23,0.00
2023-04-26,183.23,183.23,183.23,183.23,0,183.23,0.00
2023-04-25,178.81,183.23,178.81,183.23,15,183.23,3.67
2023-04-24,176.75,176.75,176.75,176.75,100,176.75,-0.05
2023-04-21,182,182.25,176.75,176.84,130,176.84,-3.81
2023-04-20,187,189,183.84,183.84,3035,183.84,0.45
2023-04-19,178.46,184,178.46,183.01,136,183.01,-3.17
2023-04-18,189,189,189,189,1101,189,3.28
2023-04-17,182.18,185,181,183,463,183,-3.79
2023-04-14,190.2,190.2,190.2,190.2,2,190.2,-4.90
2023-04-13,199,200,199,200,138,200,6.38
2023-04-12,190,193.82,188,188,362,188,1.37
2023-04-11,185.46,185.46,185.46,185.46,0,185.46,0.00
2023-04-10,180.42,185.46,180.42,185.46,101,185.46,-2.39
2023-04-06,190,190,186.73,190,270,190,-0.39
2023-04-05,190.74,190.74,190.74,190.74,0,190.74,0.00
2023-04-04,192,193,190.33,190.74,1033,190.74,3.96
2023-04-03,182,183.48,182,183.47,122,183.47,4.03
2023-03-31,157.67,197,157.67,176.36,32,176.36,-4.75
2023-03-30,180,185.15,180,185.15,737,185.15,2.86
2023-03-29,175.13,180,175.13,180,1020,180,0.94
2023-03-28,174.83,178.32,174.83,178.32,32,178.32,-0.12
2023-03-27,172.37,178.53,172.37,178.53,71,178.53,-0.73
2023-03-24,189.24,189.24,179.85,179.85,24,179.85,-1.42
2023-03-23,185.5,185.5,182.44,182.44,102,182.44,2.20
2023-03-22,199,199,172.31,178.51,7,178.51,3.95
2023-03-21,173.56,173.9,169.89,171.72,30518,171.72,-7.18
2023-03-20,181.52,185,178.19,185,2145,185,2.65
2023-03-17,176.81,186.06,176.81,180.22,1371,180.22,8.82
2023-03-16,166.19,166.19,160.77,165.62,41,165.62,0.42
2023-03-15,166.61,170.12,164.62,164.93,11774,164.93,2.28
2023-03-14,163,163,161.25,161.25,452,161.25,-1.30
2023-03-13,160.77,163.37,160.77,163.37,31,163.37,8.01
2023-03-10,153.43,153.43,151.25,151.25,463,151.25,7.95
2023-03-09,140.11,140.11,140.11,140.11,0,140.11,0.00
2023-03-08,140.11,140.11,140.11,140.11,0,140.11,0.00
2023-03-07,141.32,141.32,140.11,140.11,25,140.11,-6.42
2023-03-06,149.73,149.73,149.73,149.73,3,149.73,-1.23
2023-03-03,148.78,151.6,148.78,151.6,21,151.6,2.81
2023-03-02,147.45,147.45,147.45,147.45,5,147.45,0.05
2023-03-01,146.32,147.38,146.32,147.38,102,147.38,5.27
2023-02-28,140,140,140,140,100,140,-4.28
2023-02-27,146.26,146.26,146.26,146.26,0,146.26,0.00
2023-02-24,146.26,146.26,146.26,146.26,0,146.26,0.00
2023-02-23,146.26,146.26,146.26,146.26,0,146.26,0.00
2023-02-22,146.26,146.26,146.26,146.26,0,146.26,0.00
2023-02-21,146.26,146.26,146.26,146.26,30,146.26,-1.41
2023-02-17,148.35,148.35,148.35,148.35,1,148.35,0.58
2023-02-16,145.99,147.5,145.99,147.5,600,147.5,2.42
2023-02-15,146.59,146.59,144.02,144.02,12,144.02,-4.85
2023-02-14,150.21,151.36,149.08,151.36,50,151.36,0.53
2023-02-13,152.07,152.07,150.56,150.56,115,150.56,-9.21
2023-02-10,154.07,165.84,154.07,165.84,2,165.85,3.65
2023-02-09,160,160,160,160,500,160,0.52
2023-02-08,159.17,159.17,159.17,159.17,0,159.17,0.00
2023-02-07,159.17,159.17,159.17,159.17,3,159.17,3.07
2023-02-06,154.48,154.48,154.43,154.43,249,154.43,-7.35
2023-02-03,166.69,166.69,166.69,166.69,107,166.69,-2.88
2023-02-02,171.63,171.63,171.63,171.63,1,171.63,-5.18
2023-02-01,171.39,181,168.48,181,370,181,4.95
2023-01-31,171,174,171,172.46,337,172.46,0.82
2023-01-30,171.97,171.97,170.8,171.05,161,171.05,-2.12
2023-01-27,174.38,174.75,173.46,174.75,442,174.75,-0.01
2023-01-26,172,174.76,171.97,174.76,797,174.76,-2.76
2023-01-25,179.72,179.72,179.72,179.72,15,179.72,1.35
2023-01-24,173.04,177.33,173.04,177.33,44,177.33,2.71
2023-01-23,166.75,177,90,172.65,244,172.65,-2.64
2023-01-20,177.33,177.33,177.33,177.33,17,177.33,1.98
2023-01-19,173.89,173.89,173.89,173.89,80,173.89,4.23
2023-01-18,166.83,166.83,166.83,166.83,1,166.83,-1.28
2023-01-17,168.99,168.99,168.99,168.99,10,168.99,-1.04
2023-01-13,170.77,170.77,170.77,170.77,0,170.77,0.00
2023-01-12,163.55,170.77,163.55,170.77,215,170.77,3.81
2023-01-11,160.48,164.5,160.48,164.5,206,164.5,2.72
2023-01-10,160.15,160.15,160.15,160.15,6,160.15,-0.14
